DATE,Case-ShillerHPI,CPI,FEDFUNDS,Monthly Real GDP Index,MORTGAGE30US,Population(thousands),S&P500 Close,UNRATE,DIncome
2012-08-01,142.28,229.918,0.13,17414.967,3.601999999999999,315031.0,1406.5799560546875,8.1,41144.0
2012-09-01,142.907,231.015,0.14,17476.723,3.4975,315264.0,1440.6700439453125,7.8,41404.0
2012-10-01,143.59799999999998,231.638,0.16,17408.266,3.3825000000000003,315485.0,1412.1600341796875,7.8,41656.0
2012-11-01,144.582,231.249,0.16,17484.567,3.351999999999999,315692.0,1416.1800537109375,7.7,42180.0
2012-12-01,145.499,231.221,0.16,17577.466,3.345,315877.0,1426.18994140625,7.9,43190.0
2013-01-01,146.82399999999998,231.679,0.14,17719.68,3.414,316038.0,1498.1099853515625,8.0,40645.0
2013-02-01,147.781,232.937,0.15,17601.622,3.5325,316191.0,1514.6800537109375,7.7,40526.0
2013-03-01,149.961,232.282,0.14,17666.592,3.565,316357.0,1569.18994140625,7.5,40625.0
2013-04-01,151.518,231.797,0.15,17699.13,3.4450000000000003,316535.0,1597.5699462890625,7.6,40733.0
2013-05-01,152.85,231.893,0.11,17648.561,3.536,316729.0,1630.739990234375,7.5,40900.0
2013-06-01,154.202,232.445,0.09,17782.016,4.07,316934.0,1606.280029296875,7.5,40878.0
2013-07-01,155.607,232.9,0.09,17803.636,4.37,317156.0,1685.72998046875,7.3,40806.0
2013-08-01,156.963,233.456,0.08,17894.74,4.456,317397.0,1632.969970703125,7.2,40862.0
2013-09-01,158.225,233.544,0.08,17883.673,4.49,317635.0,1681.550048828125,7.2,41014.0
2013-10-01,159.24,233.669,0.09,17984.95,4.192,317864.0,1756.5400390625,7.2,40818.0
2013-11-01,160.07299999999998,234.1,0.08,18055.065,4.255,318076.0,1805.81005859375,6.9,40867.0
2013-12-01,160.993,234.719,0.09,18009.082,4.4575,318276.0,1848.3599853515625,6.7,40905.0
2014-01-01,161.924,235.288,0.07,17898.228,4.432,318464.0,1782.5899658203125,6.6,41070.0
2014-02-01,162.523,235.547,0.07,17986.927,4.3025,318642.0,1859.449951171875,6.7,41263.0
2014-03-01,163.084,236.028,0.08,17977.444,4.3425,318827.0,1872.3399658203125,6.7,41464.0
2014-04-01,163.39,236.468,0.09,18109.013,4.3375,319020.0,1883.949951171875,6.2,41597.0
2014-05-01,163.656,236.918,0.09,18200.117,4.192,319225.0,1923.5699462890625,6.3,41704.0
2014-06-01,164.067,237.231,0.1,18249.277,4.1625,319438.0,1960.22998046875,6.1,41825.0
2014-07-01,164.58700000000002,237.498,0.09,18363.791,4.13,319670.0,1930.6700439453125,6.2,41877.0
2014-08-01,165.21200000000002,237.46,0.09,18466.684,4.115,319919.0,2003.3699951171875,6.1,42029.0
2014-09-01,165.903,237.477,0.09,18391.04,4.1625,320166.0,1972.2900390625,5.9,42123.0
2014-10-01,166.639,237.43,0.09,18495.017,4.036,320403.0,2018.050048828125,5.7,42293.0
2014-11-01,167.332,236.983,0.09,18509.848,3.9975,320616.0,2067.56005859375,5.8,42494.0
2014-12-01,168.047,236.252,0.12,18495.82,3.864,320815.0,2058.89990234375,5.6,42763.0
2015-01-01,168.627,234.747,0.11,18652.491,3.67,320997.0,1994.989990234375,5.7,42984.0
2015-02-01,169.12400000000002,235.342,0.11,18729.589,3.71,321164.0,2104.5,5.5,43118.0
2015-03-01,169.795,235.976,0.11,18618.31,3.77,321344.0,2067.889892578125,5.4,42980.0
2015-04-01,170.293,236.222,0.12,18784.85,3.672,321538.0,2085.510009765625,5.4,43049.0
2015-05-01,170.87599999999998,237.001,0.12,18749.038,3.84,321740.0,2107.389892578125,5.6,43096.0
2015-06-01,171.477,237.657,0.13,18813.252,3.9825,321954.0,2063.110107421875,5.3,43093.0
2015-07-01,172.148,238.034,0.13,18820.556,4.046,322186.0,2103.840087890625,5.2,43161.0
2015-08-01,172.93099999999998,238.033,0.14,18831.583,3.905,322427.0,1972.1800537109375,5.1,43222.0
2015-09-01,173.824,237.498,0.14,18920.513,3.89,322670.0,1920.030029296875,5.0,43302.0
2015-10-01,174.78900000000002,237.733,0.12,18917.462,3.796,322901.0,2079.360107421875,5.0,43347.0
2015-11-01,175.735,238.017,0.12,18837.501,3.9425,323113.0,2080.409912109375,5.1,43308.0
2015-12-01,176.537,237.761,0.24,18921.945,3.964,323318.0,2043.93994140625,5.0,43487.0
2016-01-01,177.262,237.652,0.34,18980.254,3.8725,323509.0,1940.239990234375,4.8,43650.0
2016-02-01,177.641,237.336,0.38,18952.74,3.66,323687.0,1932.22998046875,4.9,43670.0
2016-03-01,178.15599999999998,238.08,0.36,19072.428,3.694,323871.0,2059.739990234375,5.0,43645.0
2016-04-01,178.759,238.992,0.37,19091.522,3.605,324061.0,2065.300048828125,5.1,43529.0
2016-05-01,179.42,239.557,0.37,19042.33,3.6,324260.0,2096.949951171875,4.8,43470.0
2016-06-01,180.09,240.222,0.38,19054.532,3.568,324476.0,2098.860107421875,4.9,43470.0
2016-07-01,180.85,240.101,0.39,19098.779,3.44,324697.0,2173.60009765625,4.8,43610.0
2016-08-01,181.84,240.545,0.4,19204.274,3.435,324924.0,2170.949951171875,4.9,43631.0
2016-09-01,182.813,241.176,0.4,19290.79,3.46,325155.0,2168.27001953125,5.0,43700.0
2016-10-01,183.743,241.741,0.4,19218.794,3.47,325368.0,2126.14990234375,4.9,43752.0
2016-11-01,184.753,242.026,0.41,19329.319,3.77,325562.0,2198.81005859375,4.7,43843.0
2016-12-01,185.716,242.637,0.54,19364.964,4.198,325742.0,2238.830078125,4.7,43942.0
2017-01-01,186.796,243.618,0.65,19356.123,4.15,325901.0,2278.8701171875,4.7,44105.0
2017-02-01,187.314,244.006,0.66,19374.099,4.1675,326050.0,2363.639892578125,4.6,44216.0
2017-03-01,187.991,243.892,0.79,19464.863,4.196,326207.0,2362.719970703125,4.4,44378.0
2017-04-01,188.721,244.193,0.9,19395.029,4.045,326371.0,2384.199951171875,4.4,44457.0
2017-05-01,189.61,244.004,0.91,19515.504,4.01,326548.0,2411.800048828125,4.4,44743.0
2017-06-01,190.519,244.163,1.04,19610.36,3.904,326743.0,2423.409912109375,4.3,44741.0
2017-07-01,191.465,244.243,1.15,19597.735,3.9675,326939.0,2470.300048828125,4.3,44841.0
2017-08-01,192.649,245.183,1.16,19638.308,3.88,327140.0,2471.64990234375,4.4,44868.0
2017-09-01,193.745,246.435,1.15,19746.228,3.805,327342.0,2519.360107421875,4.3,44925.0
2017-10-01,194.792,246.626,1.15,19761.493,3.895,327528.0,2575.260009765625,4.2,45030.0
2017-11-01,195.945,247.284,1.16,19910.894,3.922,327699.0,2647.580078125,4.2,45075.0
2017-12-01,197.164,247.805,1.3,19974.59,3.95,327848.0,2673.610107421875,4.1,45136.0
2018-01-01,198.301,248.859,1.41,20002.665,4.032500000000001,327969.0,2823.81005859375,4.0,45390.0
2018-02-01,199.228,249.529,1.42,20097.403,4.33,328085.0,2713.830078125,4.1,45479.0
2018-03-01,199.967,249.577,1.51,20032.12,4.444,328219.0,2640.8701171875,4.0,45624.0
2018-04-01,200.662,250.227,1.69,20090.099,4.4675,328364.0,2648.050048828125,4.0,45703.0
2018-05-01,201.427,250.792,1.7,20179.107,4.586,328521.0,2705.27001953125,3.8,45835.0
2018-06-01,202.241,251.018,1.82,20182.216,4.57,328692.0,2718.3701171875,4.0,45998.0
2018-07-01,202.912,251.214,1.91,20257.236,4.5275,328863.0,2816.2900390625,3.8,46173.0
2018-08-01,203.66099999999997,251.663,1.91,20288.13,4.55,329040.0,2901.52001953125,3.8,46312.0
2018-09-01,204.322,252.182,1.95,20283.119,4.6274999999999995,329216.0,2913.97998046875,3.7,46284.0
2018-10-01,205.08900000000003,252.772,2.19,20287.935,4.83,329379.0,2711.739990234375,3.8,46373.0
